gene	driver_prob	is_driver	is_labeled
HSPG2	0.68847	0	0
LRRC7	0.6884445	0	0
BRCA2	0.688346	1	1
ALB	0.6876728	0	0
MYOM2	0.6874626	0	0
HNRNPA1	0.6868477	0	0
RPS14	0.68683416	0	0
LAMA4	0.6864306	0	0
MED12	0.68622345	1	1
YBX1	0.68438965	0	0
RPL3	0.6835915	0	0
SF3B1	0.68316066	1	1
RPS23	0.6830766	0	0
TGFBR2	0.6820742	1	1
PIK3R1	0.6819913	1	1
ANXA5	0.68161833	0	0
FBXW7	0.6808826	1	1
CANX	0.6807786	0	0
NFE2L2	0.6789936	1	1
IDH1	0.67885536	1	1
PCDH17	0.6786295	0	0
RNF4	0.67848885	0	0
DOCK2	0.67823875	0	0
DYNC1H1	0.67802936	0	0
CXCR4	0.67788327	1	1
GNAS	0.67749137	1	1
ZNF521	0.67749107	1	1
SLIT3	0.6764869	0	0
KCNT2	0.67569107	0	0
EZH2	0.67510384	1	1
NOTCH2	0.6746744	1	1
CTNND2	0.6743118	0	0
XPO1	0.67365277	1	1
NCOR1	0.67355233	1	1
HGF	0.67347723	0	0
GTF3C1	0.67166275	0	0
LUM	0.67099684	0	0
F13A1	0.6706514	0	0
RPS3A	0.6705723	0	0
NTRK3	0.6702491	1	1
NBAS	0.6699199	0	0
ARID1A	0.66967773	1	1
RP1L1	0.6693366	0	0
RECQL4	0.6688622	1	1
PLCE1	0.6682943	0	0
TLR2	0.66822004	0	0
RPS13	0.66787183	0	0
DROSHA	0.66766393	1	1
PARP1	0.66745186	0	0
NFKBIA	0.6672932	0	0
POLR2C	0.6671389	0	0
RPS2	0.6667328	0	0
FASN	0.6664232	0	0
HSPA9	0.66637737	0	0
PRC1	0.6655541	0	0
NOTCH1	0.6652565	1	1
DDX5	0.6650313	1	1
H6PD	0.66457635	0	0
NES	0.6643907	0	0
COL1A2	0.6643571	0	0
UBR4	0.66433316	0	0
PCDH11X	0.6638676	0	0
TP53BP1	0.6633838	0	0
RPL23A	0.6633097	0	0
SMAD4	0.6621028	1	1
POLR1A	0.6611842	0	0
BDNF	0.660637	0	0
EIF4G2	0.6605895	0	0
RC3H2	0.6600104	0	0
CDH11	0.65997684	1	1
PLCB1	0.65965754	0	0
PLXNA4	0.6587188	0	0
FBN1	0.65870225	0	0
MAP1B	0.6584211	0	0
LTBP2	0.6577851	0	0
CFTR	0.6576012	0	0
ECT2	0.6568365	0	0
POLR2A	0.65563095	0	0
ARRB1	0.6544944	0	0
COL6A2	0.65445	0	0
EPAS1	0.65420717	1	1
MAPK1	0.65411747	1	1
HSP90B1	0.6540356	0	0
NCL	0.6539404	0	0
MYH9	0.65371335	1	1
PECAM1	0.6534457	0	0
ACTN2	0.6530744	0	0
CSMD2	0.65305245	0	0
RPS20	0.6529722	0	0
RPL14	0.6526865	0	0
PRKACG	0.6521548	0	0
YWHAZ	0.651949	0	0
ANK1	0.65186125	0	0
CCT7	0.6515018	0	0
RPL7	0.6514362	0	0
HNRNPA2B1	0.65107596	1	1
ALMS1	0.6506481	0	0
XRCC6	0.6491893	0	0
C3	0.6489141	0	0
ASXL3	0.6488584	0	0
DDX3X	0.64837277	1	1
TNS1	0.64674747	0	0
CCNB1	0.64673454	0	0
EIF4G1	0.64566076	0	0
LAMA3	0.6451694	0	0
RPLP0	0.6450399	0	0
SHANK2	0.64487493	0	0
RELA	0.6447762	0	0
RPS16	0.644653	0	0
CHL1	0.64416265	0	0
DNAH8	0.644033	0	0
EFTUD2	0.64402175	0	0
RPL26	0.64399266	0	0
CUL3	0.6439105	0	0
HUWE1	0.6433788	0	0
ITGA4	0.64334935	0	0
UBR5	0.64262885	1	1
ABCA13	0.6423703	0	0
FOXA1	0.6416008	1	1
NAT10	0.6411215	0	0
G3BP1	0.6411215	0	0
NTNG1	0.64083475	0	0
CALML5	0.6405193	0	1
SUMO1	0.6403275	0	0
HNRNPC	0.6401125	0	0
GOT2	0.64001095	0	0
CXCL12	0.63970804	0	0
MYLK	0.6396612	0	0
PAX6	0.63906807	0	0
CPS1	0.6389533	0	0
PTPRZ1	0.63866633	0	0
CDK2	0.63858616	0	0
HSPD1	0.6383729	0	0
LPIN2	0.63816994	0	0
RPL6	0.63815063	0	0
CTSB	0.6380059	0	0
PREX1	0.6379118	0	0
PHB	0.63783664	0	0
DDB1	0.6373103	0	0
CD36	0.6372759	0	0
RPL27A	0.6371466	0	0
AR	0.6368782	1	1
IGF1R	0.6368414	0	0
COL22A1	0.63647425	0	0
CS	0.6362861	0	0
MGA	0.63628054	0	0
CDC5L	0.6359726	0	0
MRPS7	0.6359052	0	0
GOLGB1	0.6358205	0	0
PPIG	0.6358186	0	0
YWHAE	0.6357742	1	1
NEDD8	0.6357118	0	0
TUFM	0.635682	0	0
ABCC9	0.63504845	0	0
ARID4B	0.6348963	0	0
ROBO2	0.6347157	0	0
SNCA	0.6341095	0	0
KIF20A	0.634005	0	0
AURKB	0.633965	0	0
YAP1	0.63253427	0	0
MRPS5	0.6322879	0	0
NRAS	0.6322411	1	1
GATA3	0.63206196	1	1
IGF1	0.63198227	0	0
NUP205	0.63190097	0	0
PPP1CB	0.63181627	0	0
JAG1	0.6312581	0	0
CLU	0.6312122	0	0
